onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
331.9980000000	n/a	n/a	STATUS	n/a	n/a	S  5
332.0500000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
333.0520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
334.0520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
335.0520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
336.0520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
337.0520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
338.0520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
339.0520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
340.0540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
341.0540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
342.0540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
343.0540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
344.0540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
345.0540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
346.0540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
347.0560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
348.0560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
349.0560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
350.0560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
351.0560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
352.0560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
353.0580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
354.0580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
355.0580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
356.0580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
357.0580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
358.0580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
359.0580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
360.0600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
361.0600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
362.0600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
363.0600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
364.0600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
365.0600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
366.0600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
367.0620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
368.0620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
