onset	duration	sample	trial_type	response_time	stim_file	value
416.0520000000	n/a	n/a	Novel Tone	n/a	n/a	S202
455.3020000000	n/a	n/a	STATUS	n/a	n/a	S  7
455.3540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
456.3540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
457.3540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
458.3540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
459.3540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
460.3560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
461.3560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
462.3560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
463.3560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
464.3560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
465.3560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
466.3560000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
467.3580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
468.3580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
469.3580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
470.3580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
471.3580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
472.3580000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
473.3600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
474.3600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
475.3600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
476.3600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
477.3600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
478.3600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
479.3600000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
480.3620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
481.3620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
482.3620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
483.3620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
484.3620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
485.3620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
486.3620000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
487.3640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
488.3640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
489.3640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
490.3640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
491.3640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
492.3640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
493.3640000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
494.3660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
495.3660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
496.3660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
497.3660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
498.3660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
499.3660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
500.3660000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
501.3680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
502.3680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
503.3680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
504.3680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
505.3680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
506.3680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
507.3680000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
508.3700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
509.3700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
510.3700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
511.3700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
512.3700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
513.3700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
514.3720000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
524.7280000000	n/a	n/a	STATUS	n/a	n/a	S  8
524.7820000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
525.7820000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
526.7820000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
527.7820000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
528.7820000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
529.7840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
530.7840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
531.7840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
532.7840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
533.7840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
534.7840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
535.7840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
536.7860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
537.7860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
538.7860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
539.7860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
540.7860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
541.7860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
542.7860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
543.7880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
544.7880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
545.7880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
546.7880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
547.7880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
548.7880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
549.7880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
550.7900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
551.7900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
552.7900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
553.7900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
554.7900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
555.7900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
556.7920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
557.7920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
558.7920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
559.7920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
560.7920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
561.7920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
562.7920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
563.7940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
564.7940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
565.7940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
566.7940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
567.7940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
