onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
6.3640000000	n/a	n/a	STATUS	n/a	n/a	S  6
6.4220000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
7.4220000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
8.4240000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
9.4240000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
10.4240000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
11.4240000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
12.4240000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
13.4240000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
14.4240000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
15.4260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
16.4260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
17.4260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
18.4260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
19.4260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
20.4260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
21.4260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
22.4280000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
23.4280000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
24.4280000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
25.4280000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
26.4280000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
27.4280000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
28.4280000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
29.4300000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
30.4300000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
31.4300000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
32.4300000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
33.4300000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
34.4300000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
35.4300000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
36.4320000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
37.4320000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
38.4320000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
39.4320000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
40.4320000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
41.4340000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
42.4340000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
43.4340000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
44.4340000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
45.4340000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
46.4340000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
47.4340000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
48.4360000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
49.4360000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
50.4360000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
51.4360000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
52.4360000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
