586.4080000000;0;Eyes Closed: Every 1000 ms;S  4
587.4100000000;0;Eyes Closed: Every 1000 ms;S  3
588.4100000000;0;Eyes Closed: Every 1000 ms;S  4
589.4100000000;0;Eyes Closed: Every 1000 ms;S  3
590.4100000000;0;Eyes Closed: Every 1000 ms;S  4
591.4120000000;0;Eyes Closed: Every 1000 ms;S  3
592.4120000000;0;Eyes Closed: Every 1000 ms;S  4
593.4140000000;0;Eyes Closed: Every 1000 ms;S  3
594.4140000000;0;Eyes Closed: Every 1000 ms;S  4
595.4140000000;0;Eyes Closed: Every 1000 ms;S  3
596.4140000000;0;Eyes Closed: Every 1000 ms;S  4
597.4160000000;0;Eyes Closed: Every 1000 ms;S  3
598.4160000000;0;Eyes Closed: Every 1000 ms;S  4
599.4180000000;0;Eyes Closed: Every 1000 ms;S  3
600.4180000000;0;Eyes Closed: Every 1000 ms;S  4
601.4180000000;0;Eyes Closed: Every 1000 ms;S  3
602.4180000000;0;Eyes Closed: Every 1000 ms;S  4
603.4200000000;0;Eyes Closed: Every 1000 ms;S  3
604.4200000000;0;Eyes Closed: Every 1000 ms;S  4
605.4200000000;0;Eyes Closed: Every 1000 ms;S  3
606.4200000000;0;Eyes Closed: Every 1000 ms;S  4
607.4220000000;0;Eyes Closed: Every 1000 ms;S  3
608.4220000000;0;Eyes Closed: Every 1000 ms;S  4
609.4240000000;0;Eyes Closed: Every 1000 ms;S  3
610.4240000000;0;Eyes Closed: Every 1000 ms;S  4
611.4240000000;0;Eyes Closed: Every 1000 ms;S  3
612.4260000000;0;Eyes Closed: Every 1000 ms;S  4
613.4260000000;0;Eyes Closed: Every 1000 ms;S  3
614.4260000000;0;Eyes Closed: Every 1000 ms;S  4
615.4280000000;0;Eyes Closed: Every 1000 ms;S  3
616.4280000000;0;Eyes Closed: Every 1000 ms;S  4
617.4300000000;0;Eyes Closed: Every 1000 ms;S  3
618.4300000000;0;Eyes Closed: Every 1000 ms;S  4
619.4300000000;0;Eyes Closed: Every 1000 ms;S  3
620.4300000000;0;Eyes Closed: Every 1000 ms;S  4
621.4320000000;0;Eyes Closed: Every 1000 ms;S  3
622.4320000000;0;Eyes Closed: Every 1000 ms;S  4
623.4320000000;0;Eyes Closed: Every 1000 ms;S  3
624.4340000000;0;Eyes Closed: Every 1000 ms;S  4
625.4340000000;0;Eyes Closed: Every 1000 ms;S  3
626.4340000000;0;Eyes Closed: Every 1000 ms;S  4
627.4360000000;0;Eyes Closed: Every 1000 ms;S  3
628.4360000000;0;Eyes Closed: Every 1000 ms;S  4
629.4360000000;0;Eyes Closed: Every 1000 ms;S  3
630.4380000000;0;Eyes Closed: Every 1000 ms;S  4
631.4380000000;0;Eyes Closed: Every 1000 ms;S  3
632.4380000000;0;Eyes Closed: Every 1000 ms;S  4
633.4400000000;0;Eyes Closed: Every 1000 ms;S  3
634.4400000000;0;Eyes Closed: Every 1000 ms;S  4
635.4400000000;0;Eyes Closed: Every 1000 ms;S  3
636.4420000000;0;Eyes Closed: Every 1000 ms;S  4
704.7940000000;0;STATUS;S  8
704.8480000000;0;Eyes Open: Every 1000 ms;S  1
705.8480000000;0;Eyes Open: Every 1000 ms;S  2
706.8480000000;0;Eyes Open: Every 1000 ms;S  1
707.8480000000;0;Eyes Open: Every 1000 ms;S  2
