onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
38.2640000000	n/a	n/a	STATUS	n/a	n/a	S  5
38.3180000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
39.3180000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
40.3180000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
41.3180000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
42.3180000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
43.3200000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
44.3200000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
45.3220000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
46.3220000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
47.3220000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
48.3220000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
49.3220000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
50.3220000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
51.3260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
52.3260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
53.3260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
54.3260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
55.3260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
56.3260000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
57.3280000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
58.3300000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
59.3300000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
60.3300000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
61.3300000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
62.3300000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
63.3320000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
64.3320000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
65.3340000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
66.3340000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
67.3340000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
68.3340000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
69.3360000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
70.3360000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
71.3380000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
72.3380000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
73.3380000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
74.3380000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
75.3400000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
76.3400000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
77.3420000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
78.3420000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
79.3420000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
80.3420000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
81.3440000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
82.3440000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
83.3440000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
84.3460000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
85.3460000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
86.3460000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
87.3480000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
88.3480000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
89.3480000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
90.3500000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
91.3500000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
92.3500000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
93.3520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
94.3520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
95.3540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
96.3540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
97.3540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
107.7480000000	n/a	n/a	STATUS	n/a	n/a	S  6
107.8080000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
108.8080000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
109.8080000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
110.8080000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
111.8100000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
112.8100000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
113.8100000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
114.8120000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
115.8120000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
116.8120000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
117.8120000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
118.8140000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
119.8140000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
120.8160000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
121.8160000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
122.8160000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
123.8160000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
124.8160000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
125.8160000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
126.8200000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
127.8200000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
128.8200000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
129.8200000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
130.8200000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
